Source,Target,Weight
G. Dati,M. Masini,4
G. Dati,G. Orlandi,9
G. Dati,M. Falagiani,9
G. Dati,G. Bigazzi,4
S. Profeta,A. Febo,15
P. Carone,L. Dalla,11
T. Cerasuolo,A. Baracco,11
T. Cerasuolo,G. Giancursi,7
T. Cerasuolo,C. Lo Mele,11
F. Facchinetti,D. Calvetti,6
F. Ilacqua,F. Gabbani,6
M. De Martino,M. Zanfagna,5
R. Ruocco,N. Oliviero,5
F. Arrigoni,M. Panzeri,10
F. Minoia,G. Bersola,10
F. Minoia,M. Rei,7
L. Pilat,M. Panzeri,7
Dinaro,I. Ianne,4
Dinaro,C. Daiano,1
Dinaro,C. Malgioglio,10
Querencio,F. Specchia,10
D. Sacco,C. Cattini,3
C. Rigano,R. Onori,3
C. Rigano,S. Romano,7
I. Ianne,C. Daiano,8
I. Ianne,A. Cogliati,5
I. Ianne,T. Cutugno,12
I. Ianne,G. Fasano,3
I. Ianne,C. Malgioglio,2
M. Battistini,F. Sacco,7
M. Battistini,R. Bolognesi,2
A. Bergamaschi,V. Chiaravalle,2
A. Ventura,M. Conti,3
F. Abbate,F. Michielin,3
F. Abbate,Cheope,2
M. C. Lacamera,G. Puzzo,26
P. Meneguzzo,R. Di Bella,16
P. Meneguzzo,G. Panceri,10
P. Meneguzzo,D. Melotti,15
L. Santoro,F. Riccardi,9
C. Daiano,C. Malgioglio,7
C. Daiano,A. Valsiglio,10
D. Persoglio,D. Calvio,8
D. Persoglio,S. Mantegazza,8
D. Persoglio,M. Pedretti,10
D. Persoglio,C. Ruggiero,10
C. Dazzi,D. Sinigallia,5
C. Dazzi,R. Sinigallia,5
A. Carrisi,V. Pallavicini,5
A. Carrisi,V. Mercurio,5
A. Carrisi,W. Molco,5
A. Carrisi,M. Bizzarri,1
A. Carrisi,G. Marcucci,1
A. Flora,M. Ayane,3
A. Flora,Pacifico,3
A. Flora,M. Buzzanca,3
D. De Santis,M. Di Paolo,1
D. De Santis,L. Valori,14
M. Ayane,Pacifico,2
D. Coro,M. Masini,8
D. Coro,F. Camba,2
S. Galante,A. Cogliati,10
G. Belleno,V. De Scalzi,10
R. Esposito,R. Di Benedetto,13
M. Mengoni,S. Fabiani,10
M. Mengoni,P. Calabrese,9
F. Cianciola,G. Pollex,9
F. Cianciola,E. Marrone,15
D. Calvio,S. Mantegazza,2
D. Calvio,M. Pedretti,10
D. Calvio,C. Ruggiero,10
R. Angiolini,R. Pradella,1
Nisa,U. Bindi,8
Nisa,M. Panzeri,8
Nisa,F. Califano,8
Nisa,R. Carosone,19
Nisa,G. Colonnello,10
Stash,D. Faini,8
Stash,D. Petrella,8
L. Bonometti,P. Cassano,6
S. Mantegazza,M. Pedretti,10
S. Mantegazza,C. Ruggiero,10
B. Zambrini,Duchesca,10
R. Kunstler,S. Cammariere,30
P. Muscolino,A. Caioli,14
F. Spinetti,M. Tronco e G. Servillo,10
F. Spinetti,G. D'Argenzio,8
F. Spinetti,D. Ciaramella,2
C. Noto,A. Leone,4
C. Noto,G. Giorgilli,4
G. Baldazzi,L. Dalla,4
C. Ori,E. Pietrelli,4
M. Minoia,V. Centrone,10
G. Colonnelli,A. Debernardi,10
P. Donaggio,V. Pallavicini,10
P. Donaggio,A. Testa,7
G. Cassia,R. Cini,7
G. Cassia,M. Vicari,5
R. Di Bella,D. Melotti,5
M. Signorini,G. Bigazzi,1
L. D'Alessio,V. D'Agostino,1
L. D'Alessio,Mogol,1
L. D'Alessio,S. M. Sorrentino,2
A. Civai,M. Falagiani,5
A. Civai,G. Bigazzi,5
M. Tronco e G. Servillo,G. D'Argenzio,10
M. Tronco e G. Servillo,D. Ciaramella,11
M. Pagano,F. Maresca,20
G. Curreri,V. Rossi,10
G. Curreri,S. Grandi,12
G. Curreri,P. Romitelli,7
M. Porru,M. Tansini,11
M. Baglioni,L. Piscopo,1
R. Cardelli,F. Ferraguzzo,5
R. Cardelli,F. Zanotti,5
R. Cardelli,M. Del Forno,5
R. Cardelli,F. Mobrici,4
R. Cardelli,T. Maiello,4
R. Cardelli,F. Caprara,4
I. Callegari,F. Migliacci,4
C. Ferrari,I. Porceddu,2
C. Ferrari,A. Fontana,10
L. Panico,D. De Vitis,10
M. Guazzone,D. Ceruti,2
M. Guazzone,S. Costantini,10
N. Oliviero,D. Calcagno,1
A. Branca,J. Monasta,5
D. Mariano,A. Caponi,5
D. Mariano,Mogol,3
G. Fazio,Nek,7
B. Pallesi,Pinchi,7
B. Pallesi,V. Panzuti,10
B. Pallesi,Danpa,10
G. Fassino,A. Sopranzi,5
D. Pinelli,M. Rei,8
G. Romanelli,Bungaro,19
G. Chiocchio,P. Turci,5
F. Poli,E. Paselli,6
T. Palamara,F. C. Casellati,6
G. Padovan,A. De Sanctis,6
G. D'Argenzio,D. Ciaramella,6
G. Marchetti,Mogol,6
G. Marchetti,R. Satti,6
R. Casale,G. Restelli,9
S. Dionigi,F. Serafini,9
S. Dionigi,G. Novi,9
G. Guarneri,P. P. Preti,8
T. Renis,Mogol,8
T. Renis,A. Testa,3
F. Ricci,A. Drusian,10
D. Sinigallia,R. Sinigallia,6
L. Carmi,C. A. Liman,6
F. Mussida,C. De André,6
F. Morettini,L. Angelosanti,6
F. Morettini,M. De Iaco,8
F. Morettini,Carlotta,8
F. Morettini,A. Zuccaro,6
N. Rastelli,M. Panzeri,6
N. Rastelli,V. Mascheroni,6
D. Dattoli,A. Fornaciari,4
M. Masini,M. Manzani,17
M. Masini,G. Orlandi,9
M. Masini,M. Adami,17
M. Masini,F. Camba,9
M. Masini,G. Bigazzi,9
T. De Gasperi,D. Pao ed E. Ciarallo,9
G. C. Testoni,C. Donida,4
G. C. Testoni,M. Panzeri,4
Carrel,A. Valleroni,9
A. Casaburi,G. Fiorellino,5
M. Manzani,E. Ruggeri,5
M. Manzani,G. Bigazzi,5
M. Remigi,A. Testa,5
N. Zilli,Kaballà,5
Pinchi,C. Donida,5
Pinchi,G. D'Anzi,5
Pinchi,Calibi,5
Pinchi,V. Panzuti,5
Pinchi,Danpa,5
M. Cozzoli,C. A. Bixio,5
F. Ventura,L. Carnacina,2
F. Ventura,P. Calabrese,10
G. Wright,F. Califano,10
G. Wright,G. Faiella,10
A. Zurawski,M. Martellini,10
G. Guarnieri,B. Lauzi,10
C. Marrale,A. Ruggiero,2
C. Marrale,P. Cassano,2
C. Marrale,M. Bassi,2
C. Marrale,L. Valente,4
C. Marrale,A. Stellita,4
C. Galbignani,L. Beccafichi,1
V. Magelli,Sebastiani,1
V. Magelli,E. Palumbo,10
V. Magelli,Lazzari,10
M. Calò,Bungaro,8
D. Fainello,L. Fainello,8
D. Fainello,R. Tini,8
S. Borgia,T. Cutugno,8
M. Mastrangeli,M. Conidi,4
M. Guarniero,M. Pezzali,4
S. Bersani,L. Dalla,7
G. Compare,A. Testa,7
M. Fabrizio,B. Lauzi,5
M. Fabrizio,M. Vicino,9
M. Fabrizio,R. Fogli,10
M. Fabrizio,S. D'Orazio,8
M. Fabrizio,P. Marino,10
M. Fabrizio,V. Spampinato,4
M. Schembri,L. Sepe,1
M. Schembri,E. Malepasso,7
M. Del Prete,M. Panzeri,1
M. Del Prete,N. de Luca,9
D. Masini,M. Scommegna,15
D. Masini,P. Pintucci,1
A. Cogliati,P. Cassano,4
A. Cogliati,M. Lavezzi,9
A. Cogliati,V. Tosetto,8
A. Cogliati,F. Fasano,4
A. Cogliati,L. Visentin,8
A. Cogliati,G. Fasano,8
A. Cogliati,C. Guidetti,8
A. Cogliati,E. Ramazzotti,1
A. Cogliati,F. Ciani,8
A. Rizzo,R. Righini,2
Falco,M. De Angelis,2
S. Conforti,D. L. Civaschi,4
S. Conforti,N. Fasani,4
G. Mauro,A. Giordano,4
Petaluma,F. Migliacci,10
Petaluma,M. Vicari,19
F. Draicchio,E. Roberto,9
F. Draicchio,L. Guenzi,2
F. Draicchio,A. Guidetti,2
F. Draicchio,M. Romagnoli,6
V. Capasso,G. Finizio,6
L. Fainello,R. Tini,6
C. Donida,Calibi,6
C. Donida,M. Panzeri,1
C. Donida,Mogol,4
Sebastiani,E. Palumbo,4
Sebastiani,Lazzari,7
S. Fabiani,P. Calabrese,9
G. Panceri,D. Melotti,8
M. Alemanno,L. Dalla,8
D. Faini,D. Petrella,8
D. Faini,C. De André,7
D. Faini,A. Galbiati,10
D. Faini,D. Mancino,5
P. Conte,V. Pallavicini,5
P. Conte,P. Massara,5
L. Fulci,P. Vivarelli,5
E. Munda,P. Mammaro,5
E. Munda,A. Carozza,3
E. Munda,P. Romitelli,3
Schiava,C. Gigli,3
U. Bindi,F. Califano,3
A. Tatangelo,V. D'Agostino,9
A. Tatangelo,G. D'Alessio,12
F. Ferraguzzo,F. Zanotti,3
F. Ferraguzzo,M. Del Forno,29
F. Ferraguzzo,R. Di Benedetto,7
F. Ferraguzzo,T. Maiello,4
F. Ferraguzzo,F. Caprara,4
F. Vaccari,P. Miano,8
A. Ruggiero,P. Cassano,8
A. Ruggiero,Kaballà,8
A. Ruggiero,A. Stellita,5
A. Ruggiero,Roberto Colombo,12
A. Ruggiero,C. Carrara,3
A. Ruggiero,R. Colombo,7
S. Rocchetti,A. Lo Vecchio,9
L. Carnacina,P. Calabrese,9
L. Carnacina,Cashin,9
L. Carnacina,M. Colucci,7
R. Distefano,C. Allia,3
P. Cassano,L. Visentin,5
P. Cassano,E. Ramazzotti,9
P. Cassano,A. Stellita,5
P. Cassano,F. Ciani,9
M. Lusini,G. Pollex,6
L. Barazzetti,M. Panzeri,9
M. Di Francia,F. Bongusto,9
M. Di Francia,S. Iodice,18
E. Vianello,V. Pallavicini,10
A. Baracco,G. Giancursi,6
A. Baracco,C. Lo Mele,7
E. Roberto,L. Guenzi,4
E. Roberto,A. Guidetti,7
E. Roberto,M. Romagnoli,4
G. Fulcheri,Laurex,7
Lattuada,Rolla,10
Lattuada,La Valle,10
F. Zanotti,S. Monetti,1
F. Zanotti,M. Marati,10
F. Zanotti,A. Valsiglio,10
F. Zanotti,T. Maiello,10
D. Petrella,D. Dezi,10
G. Casieri,A. Ravasio,8
R. Frenneaux,Noemi,8
R. Frenneaux,C. Ailin,8
A. Costanzo,P. Bentivoglio,6
A. Costanzo,C. Gori,6
L. Angelosanti,M. De Iaco,15
L. Angelosanti,Carlotta,10
L. Angelosanti,A. Zuccaro,6
M. De Iaco,Carlotta,6
M. De Iaco,A. Zuccaro,6
G. Mango,C. De Bei,4
M. Lavezzi,F. Ciani,6
T. Montelpare,M. Pecora,6
V. Tosetto,E. Ramazzotti,7
Fedez,F. Cogliati,4
V. Pallavicini,Biri,4
V. Pallavicini,V. Mercurio,9
V. Pallavicini,W. Molco,9
V. Pallavicini,P. Massara,9
V. Pallavicini,G. P. Felisatti,9
D. Farina,C. Minellono,9
D. Farina,T. Cutugno,4
D. Farina,G. De Stefani,7
D. Farina,G. Rampazzo,7
D. Farina,E. Ghinazzi,3
R. Onori,S. Romano,6
C. Tortora,G. D'Angelo,4
M. Casini,S. Simoni,1
M. Casini,A. Valleroni,1
M. Casini,L. Citi,6
R. Lanzo,L. Fiori,6
M. Telli,A. De Sanctis,10
L. Sepe,E. Malepasso,10
L. Cherubini,L. Cersosimo,10
L. Cherubini,C. Cecchetto,10
F. Carraresi,F. Migliacci,4
F. Carraresi,L. Bechelli,4
F. Carraresi,M. Goldsand,10
C. Rego,Cheope,10
S. Cenci,F. Migliacci,6
S. Monetti,M. Marati,14
S. Monetti,A. Valsiglio,10
P. Mammaro,A. Carozza,8
P. Mammaro,P. Romitelli,24
I. Porceddu,A. Fontana,5
M. Del Forno,F. Caprara,6
Laurex,F. Evangelisti,10
L. Lopez,L. Albertelli,1
L. Lopez,M. Zarrillo,4
L. Greco,F. Migliacci,9
Rolla,La Valle,9
G. Pollex,E. Meta,9
G. Pollex,E. Marrone,9
Carlotta,A. Zuccaro,6
N. Piras,C. Patti,10
R. Livraghi,M. Panzeri,10
J. Dorelli,M. Panzeri,10
L. Guenzi,A. Guidetti,9
L. Guenzi,M. Romagnoli,4
R. Mascellino,Tosca,6
C. Minellono,T. Cutugno,10
C. Minellono,G. De Stefani,10
C. Minellono,F. Piccarreda,10
G. Savio,G. Bigazzi,7
F. Paulin,F. Migliacci,7
G. Anania,D. Simonetta,8
G. Anania,P. Turci,8
A. Mingardi,M. Tirelli,8
Biri,V. Mascheroni,8
D. Calcagno,M. Marini,8
D. Calcagno,L. Gelmini,5
M. Bassi,L. Valente,5
M. Bassi,A. Stellita,6
E. Riccardi,L. Albertelli,6
L. Albertelli,E. Malepasso,5
L. Albertelli,M. Zarrillo,5
L. Albertelli,G. Colonnello,3
L. Albertelli,A. Fornaciari,6
E. Malepasso,A. Fornaciari,2
A. Leone,G. Giorgilli,1
F. Clemente,A. Merli,1
V. Mercurio,W. Molco,8
P. Gagliardi,G. Amendola,5
Kaballà,M. Venuti,1
Kaballà,R. Colombo,6
S. Grieco,Zacar,6
T. Cutugno,G. Fasano,8
T. Cutugno,G. Rampazzo,12
R. Cocciante,Mogol,5
R. Cocciante,Cheope,22
A. Guidetti,M. Romagnoli,3
Pacifico,Bungaro,3
F. Rondanini,M. Agnelli,5
F. Rondanini,T. Iurcich,10
F. Bianconi,I. Grandi,3
E. Palumbo,Lazzari,18
C. Pes,F. Migliacci,6
C. De André,D. Mancino,22
D. Milani,P. Barabani,17
D. Milani,A. Fornaciari,8
D. Milani,E. Ghinazzi,7
M. Falagiani,G. Bigazzi,28
C. Maccaro,V. Stein,7
A. Ambrosino,T. Savio,1
M. Scommegna,G. F. Reverberi,10
M. Scommegna,Mogol,4
M. Scommegna,P. Pintucci,10
F. Migliacci,L. Bechelli,10
F. Migliacci,M. Goldsand,10
M. Pedretti,C. Ruggiero,10
Noemi,C. Ailin,10
F. Fasano,G. Faiella,8
G. Mattei,M. Marati,8
G. Mattei,L. Bechelli,8
L. Cersosimo,C. Cecchetto,8
M. Violante,P. Martella,4
A. Febo,E. Meta,4
F. Michielin,Cheope,4
A. De Simone,V. Mascheroni,1
E. Falcocchio,P. Mendes,7
C. Cavallaro,G. Bigazzi,1
M. Panzeri,G. Colonnello,3
M. Panzeri,V. Mascheroni,3
G. Ortenzi,N. Brunialti,3
M. Agnelli,T. Iurcich,9
A. Carozza,P. Romitelli,3
F. Bongusto,S. Iodice,3
V. Panzuti,Danpa,1
P. Bentivoglio,C. Gori,1
V. D'Agostino,G. D'Alessio,15
V. D'Agostino,S. M. Sorrentino,9
F. Califano,G. Faiella,4
M. Marati,L. Bechelli,5
M. Marati,R. Buti,9
M. Marati,Cheope,6
M. Marati,F. Tanini,7
M. Marati,A. Valsiglio,7
G. Pio,F. Battiato,9
F. Ciccotti,M. Musumeci,9
F. Ciccotti,F. Guasti,12
G. F. Reverberi,Mogol,8
Donida,Mogol,8
L. Valente,A. Stellita,10
D. Ceruti,S. Costantini,10
G. Isgrò,A. De Sanctis,8
L. Bechelli,M. Goldsand,8
G. Fasano,F. Ciani,13
M. Musumeci,F. Guasti,5
F. Serafini,G. Novi,16
S. Simoni,A. Valleroni,9
Mogol,L. Battisti,26
Mogol,R. Satti,8
Mogol,A. Testa,8
Mogol,P. Soffici,10
Mogol,G. Westley,8
P. Palma,M. Luca,10
C. Guidetti,E. Ramazzotti,10
Cashin,M. Colucci,10
M. Bizzarri,G. Marcucci,10
G. Cichellero,A. Testa,10
D. L. Civaschi,N. Fasani,10
D. Simonetta,P. Turci,9
D. Simonetta,P. Romitelli,9
A. Zuppini,S. Moschetto,9
O. Angelillo,Cheope,9
G. Giancursi,C. Lo Mele,9
R. Buti,Cheope,9
R. Buti,F. Tanini,9
R. Buti,A. Valsiglio,9
E. Ruggeri,L. Schiavone,17
G. Colonnello,A. Testa,7
Cheope,F. Tanini,8
Cheope,A. Valsiglio,7
Telonio,I. Grandi,8
M. Di Paolo,L. Valori,8
P. Barabani,G. P. Reverberi,8
P. Barabani,E. Ghinazzi,4
F. Cavalli,A. Valsiglio,3
F. Cavalli,P. Cremonesi,5
P. Turci,R. Casini,10
F. Sacco,R. Bolognesi,10
Malise,G. P. Felisatti,2
G. P. Reverberi,E. Ghinazzi,9
G. Bigazzi,T. Savio,2
F. Tanini,A. Valsiglio,2
A. Valsiglio,P. Cremonesi,2
