Source,Target,Weight
U. Balsamo,C. Malgioglio,5
Da Rovere,Carrel,8
Da Rovere,A. Valleroni,8
F. Renga,M. Zappatini,8
F. Renga,D. Faini,8
F. Renga,D. Mancino,4
R. Zaneli,S. Testi,3
R. Zaneli,R. Musumarra,7
S. Mattoccia,S. Borzi,7
S. Mattoccia,F. Evangelisti,7
M. Casadei,A. Nanni,7
M. Casadei,D. Gambi,2
G. Lucariello,M. Fabrizio,2
G. Lucariello,P. Marino,6
R. Brioschi,A. Salerno,9
R. Brioschi,E. Ramazzotti,6
G. Morra,G. Togni,6
G. Morra,M. Fabrizio,18
G. Morra,R. Fogli,10
G. Ferreri,M. Calò,9
G. Ferreri,Bungaro,6
V. Ripa,M. Panzeri,10
A. Scarrone,A. Raina,9
A. Scarrone,D. Simonetta,8
R. Ferri,G. Curreri,8
R. Ferri,F. Mussida,8
R. Ferri,M. Fabrizio,8
R. Ferri,C. De André,8
R. Ferri,V. Rossi,10
G. Fabor,Zibio,2
G. Fabor,R. Pazzaglia,10
R. Pareti,A. Salerno,10
S. Belisari,D. Civaschi,9
S. Belisari,S. Conforti,10
S. Belisari,D. L. Civaschi,9
S. Belisari,N. Fasani,1
G. Caliendo,F. Boccia,9
Assolo,F. Morettini,9
Assolo,L. Angelosanti,3
Assolo,M. De Iaco,3
Assolo,Carlotta,3
Assolo,A. Zuccaro,5
Mahmood,Charlie Charles,4
G. Paoli,G. Bella,4
G. Paoli,M. Pagani,7
G. Paoli,S. Bardotti,7
R. Rubino,A. Rodini,4
L. Pellegrino,E. Sbriccoli,4
L. Pellegrino,L. Greco,7
L. Pellegrino,F. Migliacci,7
S. Amato,F. Berlincioni,9
S. Amato,F. Morgia,6
S. Cutugno,D. De Marinis,6
S. Cutugno,Depsa,10
S. Cutugno,F. Berlincioni,10
S. Cutugno,V. Pallavicini,8
C. Bissi,G. Pio,14
C. Bissi,F. Battiato,4
D. De Marinis,C. Farolfi,7
D. De Marinis,D. Bosio,7
U. Tozzi,R. Riefoli,7
U. Tozzi,G. Savio,6
U. Tozzi,G. Bigazzi,6
A. Vian,A. Pugliese,6
E. La Valle,A. Caponi,3
E. Miceli,G. Lorefice,3
Irama,G. Nenna,3
Irama,G. Colonnelli,5
Irama,A. Debernardi,5
M. Capuano,G. Capuano,5
R. Serio,R. Fiacchini,5
G. Carletti,M. Vecchi,5
G. Carletti,D. Sacco,9
G. Carletti,C. Cattini,9
M. Varini,A. De Sanctis,9
G. Reitano,M. Reitano,9
G. Reitano,M. Battistini,9
G. Reitano,F. Sacco,1
G. Reitano,R. Bolognesi,8
M. Venturiello,R. Mascellino,8
M. Venturiello,Tosca,8
B. Gilbo,S. Martelli,8
B. Gilbo,G. Bigazzi,9
G. Simonelli,P. Pinna,10
G. Simonelli,E. Palumbo,10
A. Carnevali,S. Profeta,9
A. Carnevali,A. Febo,16
I. Fornaciari,M. Marcolini,16
I. Fornaciari,C. Ori,10
I. Fornaciari,D. Dattoli,4
I. Fornaciari,E. Pietrelli,7
I. Fornaciari,A. Fornaciari,2
F. Boccia,C. Esposito,2
E. Zapparoli,F. Silvestre,2
E. Zapparoli,E. Palmosi,2
L. Vizzini,R. Pippa,2
L. Vizzini,A. Flora,2
L. Vizzini,M. Buzzanca,2
M. Biondo,M. Fiorilla,4
B. Zucchetti,G. Dati,6
G. Calabrese,E. Sciorilli,6
G. Calabrese,A. Martelli,5
G. Calabrese,D. Calcagno,1
A. Annona,G. D'Angelo,1
D. Pace,F. Fanigliulo,6
D. Pace,F. Ricciardi,6
D. Pace,O. Avogadro,6
D. Pace,G. Argenio,6
D. Pace,C. Conti,6
D. Pace,M. G. Gili,6
D. Pace,L. Beretta,6
D. Pace,S. Testi,6
D. Pace,F. Arrigoni,6
D. Pace,L. Pilat,6
D. Pace,M. Fabrizio,6
D. Pace,M. Del Prete,6
D. Pace,C. Sebastianelli,2
D. Pace,L. Carnacina,2
D. Pace,L. Barazzetti,2
D. Pace,M. Lavezzi,2
D. Pace,R. Borghetti,6
D. Pace,D. Farina,8
D. Pace,R. Livraghi,6
D. Pace,M. Vicino,6
D. Pace,D. Milani,6
D. Pace,M. Panzeri,5
D. Pace,Cashin,5
D. Pace,M. Colucci,4
D. Pace,A. Fornaciari,4
D. Pace,E. Ghinazzi,6
L. Carboni,R. Cellamare,3
L. Carboni,M. Armenise,5
M. Maffucci,T. De Gasperi,8
M. Maffucci,D. Pao ed E. Ciarallo,3
Filibello,P. E. Bassi,6
V. Negrini,R. Facchinetti,3
V. Negrini,C. Facchinetti,6
E. Diana,R. Lo Mele,5
E. Diana,T. Cerasuolo,8
E. Diana,A. Baracco,3
E. Diana,G. Giancursi,10
E. Diana,C. Lo Mele,7
L. Gonzalez Alea,L. Chiaravalli,7
L. Gonzalez Alea,F. Bianconi,10
A. Mirò,E. Ruggeri,10
A. Manfredi,M. Manzani,1
I. Spagna,G. Spagna,1
I. Spagna,F. Zanotti,2
I. Spagna,M. Marati,2
I. Spagna,A. Valsiglio,2
S. Martelli,G. Bigazzi,2
G. Spagna,F. Zanotti,1
G. Spagna,M. Marati,9
G. Spagna,A. Valsiglio,6
R. Pippa,A. Flora,15
R. Pippa,M. Buzzanca,3
F. Fanigliulo,O. Avogadro,11
F. Fanigliulo,R. Borghetti,17
Kynsha,M. Violante,7
Kynsha,P. Martella,7
M. Filardo,G. Anastasi,3
M. Filardo,G. Mangiaracina,6
M. Pasini,M. Pilato,8
M. Pasini,S. Dionigi,8
M. Pasini,F. Serafini,8
M. Pasini,G. Novi,4
L. Gambetti,M. Mariotti,8
L. Gambetti,A. Mari,8
R. Vecchioni,M. Paoluzzi,5
R. Vecchioni,A. Lo Vecchio,5
P. Mangini,Cavaros,5
F. Mesolella,P. Servillo,1
F. Mesolella,F. Spinetti,6
F. Mesolella,M. Tronco e G. Servillo,8
F. Mesolella,G. D'Argenzio,4
F. Mesolella,D. Ciaramella,9
E. Sinni,R. Cocciante,4
P. Meneguzzi,R. Di Bella,6
P. Meneguzzi,D. Melotti,3
Miani,P. Montanari,6
M. Ciappelli,S. Bertolotti,3
M. Ciappelli,F. Facchinetti,1
M. Ciappelli,V. Tosetto,1
M. Ciappelli,D. Calvetti,6
P. Magoni,M. Rinalduzzi,2
P. Magoni,M. D'Angelo,3
P. Magoni,M. Zenima Granieri,1
L. G. Arbore,C. Mattone,1
R. Cellamare,S. Bardotti,2
R. Cellamare,G. Baldazzi,4
R. Cellamare,F. Coppini,4
R. Cellamare,L. Dalla,4
R. Cellamare,S. Tamaro,3
G. Morandi,G. Bella,9
G. Morandi,Mogol,9
D. Benedetti,M. Munzi,9
D. Benedetti,A. Ventura,7
D. Benedetti,M. Conti,7
A. Zitelli,Comas,11
A. Zitelli,A. Bella,11
U. Smaila,A. Cogliati,11
U. Smaila,M. Lavezzi,6
U. Smaila,F. Ciani,6
C. Farolfi,D. Bosio,11
D. Silvestri,F. Rondanini,2
D. Silvestri,M. Agnelli,2
D. Silvestri,T. Iurcich,2
D. Baima Besquet,L. Lopez,1
D. Baima Besquet,L. Albertelli,1
D. Baima Besquet,M. Zarrillo,5
A. Balestrieri,Zibba,9
F. De André,L. Marielli,9
D. Miglietta,G. Isgrò,9
D. Miglietta,A. De Sanctis,2
P. Rossi,E. Jannacci,9
P. Rossi,P. Jannacci,9
P. Laquidara,G. Romanelli,9
G. Anastasi,F. Abbate,9
G. Anastasi,G. Mangiaracina,1
G. Anastasi,Cheope,1
M. Perrone,W. Malgoni,7
M. Perrone,Biri,7
D. Mungai,D. Petrella,3
D. Mungai,D. Dezi,8
A. Raina,Stash,8
A. Raina,D. Faini,8
A. Raina,D. Petrella,8
A. Raina,D. Simonetta,9
S. Maiuolo,G. Todrani,9
S. Maiuolo,S. Sylvestre,9
Depsa,F. Berlincioni,9
Depsa,C. Daiano,9
Depsa,F. Zanotti,9
Depsa,S. Monetti,9
Depsa,E. Malepasso,7
Depsa,T. Cutugno,9
Depsa,F. Fasano,7
Depsa,M. Marati,1
Depsa,S. Iodice,7
Depsa,G. Faiella,5
